ID,Nombre,Mitologia,Tipo,Era,Coste,Fuerza,Poder,Claves,Texto - Habilidades,Leyenda,URL-IMG,URL-IMG-BACK
0001,Yomi,Japonesa,Panteón,Era I,,,20,,INFLUENCIA: Elimina 2P; elimina 2P de la reserva de un contrario.,,GDM/Japoneses/Yomi.png,
0002,Takamagahara,Japonesa,Panteón,Era I,,,18,,INFLUENCIA: Cansa a tu personaje japonés gana 1P en él y elimina 1P de un personaje enemigo.,,GDM/Japoneses/Takamagahara.png,
0003,Amenoukihashi,Japonesa,Panteón,Era I,,,19,,INFLUENCIA: Da -1PM permanente a un personaje enemigo.,"Al rehusar a Iwanaga; tu vida será breve de ahora en adelante - Yamatumi",GDM/Japoneses/Amenoukihashi.png,
0004,Hachiman,Japonesa,Personaje,Era I,8,5,9,Dios · Demonio · Fuego,ENFRENTAMIENTO: Destruye a tu mortal; destruye a un mortal enemigo.,,GDM/Japoneses/Hachiman.png,
0005,Amaterasu,Japonesa,Personaje,Era I,7,4,9,Diosa · Sol · Fuego,INFLUENCIA: Elimina 1P de amaterasu gana 2P.,,GDM/Japoneses/Amaterasu.png,
0006,Ame-no-mi Kurami,Japonesa,Personaje,Era I,6,3,8,Diosa · Invocadora · Agua,ENFRENTAMIENTO: Elimina 1P de Ame-no-mi Kurami; mueve a un enemigo a su panteón.,,GDM/Japoneses/Ame-no-mi Kurami.png,
0007,Otengu,Japonesa,Personaje,Era I,4,2,6,Demonio · Único,ENFRENTAMIENTO: Gana 1P por cada personaje en tu ejercito (Máximo 5).,,GDM/Japoneses/Otengu.png,
0008,Yasutaki,Japonesa,Personaje,Era I,2,0,4,Shoei · Invocador,ENFRENTAMIENTO: Elimina 1P de Yasutaki; gana 2P en tu personaje japonés en un oráculo.,,GDM/Japoneses/Yasutaki.png,
0009,Koitashi,Japonesa,Personaje,Era I,5,3,5,Samurai · Ronin,"INFLUENCIA: Da +1F a tus personajes con la clave ""Ashigaru"".",,GDM/Japoneses/Koitashi.png,
0010,Masakado,Japonesa,Personaje,Era I,2,1,3,Ashigaru,Cuesta 1P menos para Takamagahara. INFLUENCIA: Elimina 1P de Masakado; prepara a este personaje (esta habilidad puede usarse aunque esté cansado).,,GDM/Japoneses/Masakado.png,
0011,Takami-musubi,Japonesa,Personaje,Era I,5,3,7,Dios · Invocador · Aire,INFLUENCIA: Prepara a tu personaje Japonés.,,GDM/Japoneses/Takami-musubi.png,
0012,Sasuke,Japonesa,Personaje,Era I,3,1,3,Shinobi · Invocador,ENFRENTAMIENTO: Si Sasuke ya estuvo en el campo de batalla este turno; muévelo al campo de batalla.,,GDM/Japoneses/Sasuke.png,
0013,Aji-suki-taka-hi-kone,Japonesa,Personaje,Era I,7,4,9,Dios · Trueno,ENFRENTAMIENTO: Cansa a Aji-suki-taka-hi-kone; cansa a dos personajes enemigos.,,GDM/Japoneses/Aji-suki-taka-hi-kone.png,
0014,Inari,Japonesa,Personaje,Era I,6,3,7,Diosa · Invocadora · Agua,"Tus personajes con la clave ""Ashigaru"" tienen +1PM. INFLUENCIA: Elimina 1P de Inari; crea un personaje (""Espíritu Kitsune"" 1F, 2PM y 1p).",,GDM/Japoneses/Inari.png,
0015,Nobunaka,Japonesa,Personaje,Era I,1,1,3,Ashigaru,,,GDM/Japoneses/Nobunaka.png,
0016,Houou,Japonesa,Personaje,Era I,4,2,4,Criatura · Fuego,No puede ser destruido. ENFRENTAMIENTO: Elimina 1P en un personaje enemigo.,,GDM/Japoneses/Houou.png,
0017,Ame-no-oshido-mimi,Japonesa,Personaje,Era I,4,2,6,Dios · Invocador · Tierra,ENFRENTAMIENTO: Da -2F a un personaje enemigo.,,GDM/Japoneses/Ame-no-oshido-mimi.png,
0018,Susanoo,Japonesa,Personaje,Era I,4,2,6,Dios · Guerrero,ENFRENTAMIENTO: Elimina 1P de Susanoo; gana 2F,,GDM/Japoneses/Susanoo.png,
